,date,state,fips,cases,deaths
7088,2020-07-09,North Carolina,37,79564,1487
7089,2020-07-09,North Dakota,38,4074,89
7090,2020-07-09,Northern Mariana Islands,69,31,2
7091,2020-07-09,Ohio,39,61331,3006
7092,2020-07-09,Oklahoma,40,18496,410
7093,2020-07-09,Oregon,41,11247,233
7094,2020-07-09,Pennsylvania,42,97634,6895
7095,2020-07-09,Puerto Rico,72,8862,159
7096,2020-07-09,Rhode Island,44,17243,974
7097,2020-07-09,South Carolina,45,50691,905
7098,2020-07-09,South Dakota,46,7336,101
7099,2020-07-09,Tennessee,47,56531,700
7100,2020-07-09,Texas,48,240025,3037
7101,2020-07-09,Utah,49,27632,205
7102,2020-07-09,Vermont,50,1272,56
7103,2020-07-09,Virgin Islands,78,153,6
7104,2020-07-09,Virginia,51,67884,1936
7105,2020-07-09,Washington,53,40369,1410
7106,2020-07-09,West Virginia,54,3826,95
7107,2020-07-09,Wisconsin,55,37358,821
7108,2020-07-09,Wyoming,56,1774,21
7109,2020-07-10,Alabama,1,50508,1104
7110,2020-07-10,Alaska,2,1579,15
7111,2020-07-10,Arizona,4,116947,2093
7112,2020-07-10,Arkansas,5,26803,313
7113,2020-07-10,California,6,311505,6936
7114,2020-07-10,Colorado,8,36210,1724
7115,2020-07-10,Connecticut,9,47287,4348
7116,2020-07-10,Delaware,10,12652,517
7117,2020-07-10,District of Columbia,11,10743,568
7118,2020-07-10,Florida,12,244143,4101
7119,2020-07-10,Georgia,13,103597,2915
7120,2020-07-10,Guam,66,1279,6
7121,2020-07-10,Hawaii,15,1139,19
7122,2020-07-10,Idaho,16,10073,101
7123,2020-07-10,Illinois,17,153406,7349
7124,2020-07-10,Indiana,18,51567,2748
7125,2020-07-10,Iowa,19,34232,748
7126,2020-07-10,Kansas,20,18799,294
7127,2020-07-10,Kentucky,21,19076,647
7128,2020-07-10,Louisiana,22,74744,3380
7129,2020-07-10,Maine,23,3499,111
7130,2020-07-10,Maryland,24,72503,3303
7131,2020-07-10,Massachusetts,25,111110,8296
7132,2020-07-10,Michigan,26,75871,6288
7133,2020-07-10,Minnesota,27,40805,1533
7134,2020-07-10,Mississippi,28,34622,1215
7135,2020-07-10,Missouri,29,28060,1107
7136,2020-07-10,Montana,30,1593,28
7137,2020-07-10,Nebraska,31,20834,294
7138,2020-07-10,Nevada,32,25961,581
7139,2020-07-10,New Hampshire,33,5991,390
7140,2020-07-10,New Jersey,34,176575,15479
7141,2020-07-10,New Mexico,35,14549,539
7142,2020-07-10,New York,36,404997,32004
7143,2020-07-10,North Carolina,37,81737,1503
7144,2020-07-10,North Dakota,38,4158,89
7145,2020-07-10,Northern Mariana Islands,69,31,2
7146,2020-07-10,Ohio,39,62856,3032
7147,2020-07-10,Oklahoma,40,19092,416
7148,2020-07-10,Oregon,41,11501,235
7149,2020-07-10,Pennsylvania,42,98574,6929
7150,2020-07-10,Puerto Rico,72,9137,159
7151,2020-07-10,Rhode Island,44,17312,976
7152,2020-07-10,South Carolina,45,52419,929
7153,2020-07-10,South Dakota,46,7401,107
7154,2020-07-10,Tennessee,47,58224,713
7155,2020-07-10,Texas,48,249948,3129
7156,2020-07-10,Utah,49,28452,207
7157,2020-07-10,Vermont,50,1277,56
7158,2020-07-10,Virgin Islands,78,167,6
7159,2020-07-10,Virginia,51,68824,1957
7160,2020-07-10,Washington,53,41090,1426
7161,2020-07-10,West Virginia,54,3983,95
7162,2020-07-10,Wisconsin,55,38414,825
7163,2020-07-10,Wyoming,56,1790,21
7164,2020-07-11,Alabama,1,51947,1114
7165,2020-07-11,Alaska,2,1656,15
7166,2020-07-11,Arizona,4,119991,2158
7167,2020-07-11,Arkansas,5,27864,319
7168,2020-07-11,California,6,320030,7012
7169,2020-07-11,Colorado,8,36633,1725
7170,2020-07-11,Connecticut,9,47287,4348
7171,2020-07-11,Delaware,10,12743,517
7172,2020-07-11,District of Columbia,11,10801,568
7173,2020-07-11,Florida,12,254503,4196
7174,2020-07-11,Georgia,13,106574,2946
7175,2020-07-11,Guam,66,1281,6
7176,2020-07-11,Hawaii,15,1181,19
7177,2020-07-11,Idaho,16,10584,102
7178,2020-07-11,Illinois,17,154530,7372
7179,2020-07-11,Indiana,18,52358,2756
7180,2020-07-11,Iowa,19,34695,748
7181,2020-07-11,Kansas,20,18983,294
7182,2020-07-11,Kentucky,21,19530,647
7183,2020-07-11,Louisiana,22,76911,3403
7184,2020-07-11,Maine,23,3520,112
7185,2020-07-11,Maryland,24,73060,3310
7186,2020-07-11,Massachusetts,25,111398,8310
7187,2020-07-11,Michigan,26,76499,6316
7188,2020-07-11,Minnesota,27,41609,1537
7189,2020-07-11,Mississippi,28,35419,1230
7190,2020-07-11,Missouri,29,28649,1112
7191,2020-07-11,Montana,30,1677,29
7192,2020-07-11,Nebraska,31,21035,296
7193,2020-07-11,Nevada,32,26912,592
7194,2020-07-11,New Hampshire,33,6024,391
7195,2020-07-11,New Jersey,34,176906,15525
7196,2020-07-11,New Mexico,35,14773,543
7197,2020-07-11,New York,36,405724,32019
7198,2020-07-11,North Carolina,37,83996,1520
7199,2020-07-11,North Dakota,38,4247,91
7200,2020-07-11,Northern Mariana Islands,69,33,2
7201,2020-07-11,Ohio,39,64214,3036
7202,2020-07-11,Oklahoma,40,19779,421
7203,2020-07-11,Oregon,41,11851,235
7204,2020-07-11,Pennsylvania,42,99252,6945
7205,2020-07-11,Puerto Rico,72,9366,167
7206,2020-07-11,Rhode Island,44,17312,976
7207,2020-07-11,South Carolina,45,54699,951
7208,2020-07-11,South Dakota,46,7454,109
7209,2020-07-11,Tennessee,47,59981,728
7210,2020-07-11,Texas,48,258280,3206
7211,2020-07-11,Utah,49,29071,212
7212,2020-07-11,Vermont,50,1283,56
7213,2020-07-11,Virgin Islands,78,181,6
7214,2020-07-11,Virginia,51,69670,1961
7215,2020-07-11,Washington,53,41326,1426
7216,2020-07-11,West Virginia,54,4146,96
7217,2020-07-11,Wisconsin,55,39095,829
7218,2020-07-11,Wyoming,56,1839,21
7219,2020-07-12,Alabama,1,53587,1121
